Date,PEP
2024-09-16,167.46572875976562
2024-09-17,167.1444091796875
2024-09-18,165.57569885253906
2024-09-19,165.0559539794922
2024-09-20,161.7672882080078
2024-09-23,162.64617919921875
2024-09-24,160.5765838623047
2024-09-25,160.08517456054688
2024-09-26,160.35923767089844
2024-09-27,160.65219116210938
2024-09-30,160.6994171142578
2024-10-01,161.95631408691406
2024-10-02,160.2269287109375
2024-10-03,159.26300048828125
2024-10-04,158.73382568359375
2024-10-07,158.015625
2024-10-08,161.04910278320312
2024-10-09,163.05250549316406
2024-10-10,163.477783203125
2024-10-11,165.19769287109375
2024-10-14,166.416748046875
2024-10-15,166.22775268554688
2024-10-16,164.88583374023438
2024-10-17,165.06539916992188
2024-10-18,165.43394470214844
2024-10-21,165.38668823242188
2024-10-22,164.78189086914062
2024-10-23,163.43997192382812
2024-10-24,162.6934051513672
2024-10-25,162.34373474121094
2024-10-28,160.50096130371094
2024-10-29,158.28965759277344
2024-10-30,157.07057189941406
2024-10-31,156.94772338867188
2024-11-01,156.4846649169922
2024-11-04,157.1934356689453
2024-11-05,158.62039184570312
2024-11-06,155.653076171875
2024-11-07,154.9821014404297
2024-11-08,156.03106689453125
2024-11-11,155.22779846191406
2024-11-12,155.3033905029297
2024-11-13,155.68142700195312
2024-11-14,156.06886291503906
2024-11-15,149.89793395996094
2024-11-18,149.62388610839844
2024-11-19,148.10240173339844
2024-11-20,150.0113525390625
2024-11-21,151.52334594726562
2024-11-22,153.09207153320312
2024-11-25,154.08433532714844
2024-11-26,153.24330139160156
2024-11-27,153.77249145507812
2024-11-29,154.46234130859375
2024-12-02,154.08433532714844
2024-12-03,152.80857849121094
2024-12-04,151.37216186523438
2024-12-05,151.66513061523438
2024-12-06,150.3832244873047
2024-12-09,151.98439025878906
2024-12-10,152.33702087402344
2024-12-11,149.4111328125
2024-12-12,151.44113159179688
2024-12-13,150.55477905273438
2024-12-16,148.6963348388672
2024-12-17,148.81069946289062
2024-12-18,147.18096923828125
2024-12-19,144.35989379882812
2024-12-20,145.61793518066406
2024-12-23,144.1883544921875
2024-12-24,145.6370086669922
2024-12-26,145.28436279296875
2024-12-27,145.71324157714844
2024-12-30,144.59817504882812
2024-12-31,144.92222595214844
2025-01-02,143.15907287597656
2025-01-03,142.62533569335938
2025-01-06,139.40399169921875
2025-01-07,138.57484436035156
2025-01-08,139.6613311767578
2025-01-10,135.9444122314453
2025-01-13,137.71710205078125
2025-01-14,138.14596557617188
2025-01-15,137.98394775390625
2025-01-16,139.6613311767578
2025-01-17,141.29104614257812
2025-01-21,141.57696533203125
2025-01-22,141.13858032226562
2025-01-23,141.6436767578125
2025-01-24,142.12022399902344
2025-01-27,147.35252380371094
2025-01-28,143.19717407226562
2025-01-29,143.31153869628906
2025-01-30,144.76971435546875
2025-01-31,143.61651611328125
2025-02-03,143.2162628173828
2025-02-04,136.7545166015625
2025-02-05,138.82261657714844
2025-02-06,138.52719116210938
2025-02-07,137.7933349609375
2025-02-10,137.57412719726562
2025-02-11,138.8035888671875
2025-02-12,137.2310333251953
2025-02-13,137.7933349609375
2025-02-14,136.6591796875
2025-02-18,137.3358612060547
2025-02-19,138.96559143066406
2025-02-20,142.10116577148438
2025-02-21,146.29461669921875
2025-02-24,146.62818908691406
2025-02-25,149.0775604248047
2025-02-26,144.3980255126953
2025-02-27,144.88409423828125
2025-02-28,146.2660369873047
2025-03-03,148.667724609375
2025-03-04,146.95223999023438
2025-03-05,146.6567840576172
2025-03-06,147.35252380371094
2025-03-07,148.4918670654297
2025-03-10,150.23214721679688
2025-03-11,146.46315002441406
2025-03-12,142.46336364746094
2025-03-13,142.62680053710938
2025-03-14,142.8671875
2025-03-17,145.51126098632812
2025-03-18,143.2517852783203
2025-03-19,142.40567016601562
2025-03-20,141.48263549804688
2025-03-21,139.84811401367188
2025-03-24,140.80958557128906
2025-03-25,139.93463134765625
2025-03-26,142.91525268554688
2025-03-27,143.90557861328125
2025-03-28,143.52099609375
2025-03-31,144.16519165039062
2025-04-01,143.90557861328125
2025-04-02,143.37677001953125
2025-04-03,145.54010009765625
2025-04-04,140.9634552001953
2025-04-07,137.67515563964844
2025-04-08,134.89646911621094
2025-04-09,139.9827117919922
2025-04-10,138.5885772705078
2025-04-11,138.8673858642578
2025-04-14,141.09803771972656
2025-04-15,137.33863830566406
2025-04-16,134.69454956054688
2025-04-17,137.33863830566406
2025-04-21,136.27139282226562
2025-04-22,137.93475341796875
2025-04-23,136.7809600830078
2025-04-24,130.0986328125
2025-04-25,128.2429962158203
2025-04-28,128.6083221435547
2025-04-29,129.1371612548828
2025-04-30,130.35824584960938
2025-05-01,128.40643310546875
2025-05-02,128.59873962402344
2025-05-05,126.90652465820312
2025-05-06,125.70467376708984
2025-05-07,126.83920288085938
2025-05-08,126.36808013916016
2025-05-09,125.41621398925781
2025-05-12,126.60843658447266
2025-05-13,125.29121398925781
2025-05-14,123.50286102294922
2025-05-15,126.43537902832031
2025-05-16,126.89688873291016
2025-05-19,126.71421813964844
2025-05-20,126.72384643554688
2025-05-21,125.13737487792969
2025-05-22,125.10852813720703
2025-05-23,124.35856628417969
2025-05-27,126.31037902832031
2025-05-28,125.63736724853516
2025-05-29,126.83920288085938
2025-05-30,126.38731384277344
2025-06-02,125.86811828613281
2025-06-03,126.77191925048828
2025-06-04,126.66614532470703
2025-06-05,126.06040954589844
2025-06-06,126.3938217163086
2025-06-09,126.32579040527344
2025-06-10,128.1434783935547
2025-06-11,126.26744079589844
2025-06-12,128.600341796875
2025-06-13,127.19088745117188
2025-06-16,127.7352294921875
2025-06-17,125.67449951171875
2025-06-18,125.4606704711914
2025-06-20,125.4606704711914
2025-06-23,125.48009490966797
2025-06-24,127.38529968261719
2025-06-25,124.44003295898438
2025-06-26,124.63442993164062
2025-06-27,127.37557220458984
2025-06-30,128.3476104736328
2025-07-01,131.47756958007812
2025-07-02,132.66343688964844
2025-07-03,131.59420776367188
2025-07-07,130.69020080566406
2025-07-08,131.2637176513672
2025-07-09,130.71937561035156
2025-07-10,132.27464294433594
2025-07-11,131.47756958007812
2025-07-14,131.77890014648438
2025-07-15,130.06809997558594
2025-07-16,131.5650634765625
2025-07-17,141.37289428710938
2025-07-18,139.2344207763672
2025-07-21,137.7374725341797
2025-07-22,141.9561004638672
2025-07-23,141.5867462158203
2025-07-24,140.46888732910156
2025-07-25,139.43853759765625
2025-07-28,137.61111450195312
2025-07-29,139.86624145507812
2025-07-30,138.8650360107422
2025-07-31,134.06317138671875
2025-08-01,135.3851318359375
2025-08-04,135.6573028564453
2025-08-05,135.55038452148438
2025-08-06,136.86264038085938
2025-08-07,139.8953857421875
2025-08-08,141.14932250976562
2025-08-11,140.81881713867188
2025-08-12,142.7628936767578
2025-08-13,145.17355346679688
2025-08-14,144.46395874023438
2025-08-15,146.19418334960938
2025-08-18,145.3679656982422
2025-08-19,147.90496826171875
2025-08-20,146.5149383544922
2025-08-21,144.8138885498047
2025-08-22,145.45542907714844
2025-08-25,144.0557098388672
2025-08-26,142.88926696777344
2025-08-27,143.51136779785156
2025-08-28,142.8698272705078
2025-08-29,144.49310302734375
2025-09-02,146.07752990722656
2025-09-03,144.4833984375
2025-09-04,142.78233337402344
2025-09-05,143.6883087158203
