Date,HESAY
2024-04-18,241.85597229003906
2024-04-19,241.5528106689453
2024-04-22,241.54302978515625
2024-04-23,246.50103759765625
2024-04-24,248.77955627441406
2024-04-25,242.59918212890625
2024-04-26,246.4325714111328
2024-04-29,241.0540771484375
2024-04-30,235.1377410888672
2024-05-01,237.61184692382812
2024-05-02,238.00086975097656
2024-05-03,243.77687072753906
2024-05-06,242.53280639648438
2024-05-07,243.62876892089844
2024-05-08,244.86294555664062
2024-05-09,245.84043884277344
2024-05-10,244.44827270507812
2024-05-13,243.3029327392578
2024-05-14,246.59080505371094
2024-05-15,246.1168975830078
2024-05-16,244.62599182128906
2024-05-17,246.34397888183594
2024-05-20,246.33412170410156
2024-05-21,244.9320831298828
2024-05-22,233.05422973632812
2024-05-23,232.491455078125
2024-05-24,233.85400390625
2024-05-28,233.8243865966797
2024-05-29,229.66763305664062
2024-05-30,232.51119995117188
2024-05-31,234.00210571289062
2024-06-03,233.2023468017578
2024-06-04,233.48867797851562
2024-06-05,239.462158203125
2024-06-06,237.65528869628906
2024-06-07,234.39703369140625
2024-06-10,228.17672729492188
2024-06-11,226.1526641845703
2024-06-12,230.2501678466797
2024-06-13,230.05270385742188
2024-06-14,222.93389892578125
2024-06-17,227.32760620117188
2024-06-18,225.39239501953125
2024-06-20,229.83547973632812
2024-06-21,228.42356872558594
2024-06-24,230.4871368408203
2024-06-25,234.96971130371094
2024-06-26,232.71853637695312
2024-06-27,230.26004028320312
2024-06-28,227.99900817871094
2024-07-01,223.5657958984375
2024-07-02,223.85214233398438
2024-07-03,226.3402557373047
2024-07-05,227.77191162109375
2024-07-08,222.9437713623047
2024-07-09,220.0508270263672
2024-07-10,223.4571990966797
2024-07-11,226.79444885253906
2024-07-12,232.7876739501953
2024-07-15,226.43899536132812
2024-07-16,223.22023010253906
2024-07-17,223.14125061035156
2024-07-18,222.40072631835938
2024-07-19,221.541748046875
2024-07-22,225.4121551513672
2024-07-23,221.4824981689453
2024-07-24,216.42724609375
2024-07-25,218.75741577148438
2024-07-26,223.58554077148438
2024-07-29,217.08877563476562
2024-07-30,216.71359252929688
2024-07-31,216.11131286621094
2024-08-01,214.16622924804688
2024-08-02,212.46800231933594
2024-08-05,212.0434112548828
2024-08-06,212.53709411621094
2024-08-07,214.23532104492188
2024-08-08,216.20016479492188
2024-08-09,218.46121215820312
2024-08-12,216.79258728027344
2024-08-13,221.4824981689453
2024-08-14,225.78733825683594
2024-08-15,230.38839721679688
2024-08-16,231.19802856445312
2024-08-19,235.50286865234375
2024-08-20,237.9613800048828
2024-08-21,242.06875610351562
2024-08-22,239.7978515625
2024-08-23,242.592041015625
2024-08-26,241.79229736328125
2024-08-27,235.95706176757812
2024-08-28,232.80738830566406
2024-08-29,235.127685546875
2024-08-30,236.5099639892578
2024-09-03,234.59451293945312
2024-09-04,227.6435546875
2024-09-05,212.96165466308594
2024-09-06,208.6568145751953
2024-09-09,207.8866729736328
2024-09-10,207.0968017578125
2024-09-11,209.5552978515625
2024-09-12,210.27606201171875
2024-09-13,210.0193634033203
2024-09-16,209.21958923339844
2024-09-17,211.50039672851562
2024-09-18,210.44390869140625
2024-09-19,219.85337829589844
2024-09-20,212.7246856689453
2024-09-23,212.3100128173828
2024-09-24,222.03543090820312
2024-09-25,223.53619384765625
2024-09-26,246.23536682128906
2024-09-27,245.51461791992188
2024-09-30,243.81637573242188
2024-10-01,235.21653747558594
2024-10-02,234.8709716796875
2024-10-03,232.1754913330078
2024-10-04,233.42942810058594
2024-10-07,234.00210571289062
2024-10-08,234.43653869628906
2024-10-09,229.0554656982422
2024-10-10,229.4899139404297
2024-10-11,231.02029418945312
2024-10-14,228.58152770996094
2024-10-15,221.630615234375
2024-10-16,220.78147888183594
2024-10-17,221.13693237304688
2024-10-18,224.2766876220703
2024-10-21,221.275146484375
2024-10-22,220.41616821289062
2024-10-23,218.94500732421875
2024-10-24,222.98326110839844
2024-10-25,223.8817596435547
2024-10-28,227.77191162109375
2024-10-29,226.8931884765625
2024-10-30,226.1625213623047
2024-10-31,222.7759246826172
2024-11-01,221.6207275390625
2024-11-04,222.12428283691406
2024-11-05,223.53619384765625
2024-11-06,221.630615234375
2024-11-07,231.28689575195312
2024-11-08,219.61639404296875
2024-11-11,215.44976806640625
2024-11-12,208.06439208984375
2024-11-13,209.42694091796875
2024-11-14,211.68797302246094
2024-11-15,211.69784545898438
2024-11-18,210.70062255859375
2024-11-19,209.27883911132812
2024-11-20,206.99806213378906
2024-11-21,206.06996154785156
2024-11-22,208.1631317138672
2024-11-25,213.2677459716797
2024-11-26,212.3889923095703
2024-11-27,213.20851135253906
2024-11-29,215.4398956298828
2024-12-02,224.86911010742188
2024-12-03,227.33749389648438
2024-12-04,226.7648162841797
2024-12-05,228.00888061523438
2024-12-06,235.88795471191406
2024-12-09,236.75680541992188
2024-12-10,231.51397705078125
2024-12-11,235.18692016601562
2024-12-12,235.45350646972656
2024-12-13,235.80894470214844
2024-12-16,235.10792541503906
2024-12-17,238.346435546875
2024-12-18,232.55068969726562
2024-12-19,235.038818359375
2024-12-20,235.976806640625
2024-12-23,238.41555786132812
2024-12-24,238.1785888671875
2024-12-26,239.6102294921875
2024-12-27,238.3563232421875
2024-12-30,236.95428466796875
2024-12-31,236.0064239501953
2025-01-02,231.94839477539062
2025-01-03,228.00888061523438
2025-01-06,237.7244110107422
2025-01-07,240.43963623046875
2025-01-08,241.49607849121094
2025-01-10,239.71884155273438
2025-01-13,239.07708740234375
2025-01-14,239.92620849609375
2025-01-15,240.41986083984375
